id,title,votes,comment_count_listed,messages_downloaded,new_or_changed_messages,changed_since_previous,post_date,last_comment_post_date,is_sticky,url
729926,"Tracking 3,057 teams through 6 weeks of meta: who switched decks, when — and why it was always too late",56,15,16,0,False,2026-07-27T08:53:10.162449700Z,2026-08-02T03:32:38.770Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/729926
731739,Why is there so much grimmsnarl,3,10,11,0,False,2026-08-01T01:04:41.788393Z,2026-08-05T15:37:51.796666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/731739
732469,Official replay viewer is currently unreachable,6,1,2,0,False,2026-08-03T07:18:12.877773500Z,2026-08-03T08:49:10.270Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/732469
731352,Does a Pure Heuristic Top-100 Agent Exist?,3,12,13,0,False,2026-07-31T06:12:32.579039500Z,2026-08-04T13:34:19.586666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/731352
728071,RL Beginner Question: How Much Training Data Does a PTCG-Game Agent Need?,21,66,67,0,False,2026-07-21T21:57:56.502969900Z,2026-08-04T20:24:00.163333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728071
730143,Show us your Pokemon,14,11,12,0,False,2026-07-28T08:11:00.318173800Z,2026-08-01T15:01:37.123333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730143
731083,Incorrect all_card_data() text for Team Rocket’s Great Ball (#1132),4,2,3,0,False,2026-07-30T17:49:11.955306Z,2026-08-03T17:18:49.766666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/731083
730497,Submission Strategy,4,16,17,0,False,2026-07-29T13:10:18.097450200Z,2026-08-02T09:10:23.550Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730497
732665,Using current time in submission for strategy?,1,0,1,0,False,2026-08-04T06:27:59.443291Z,2026-08-04T06:27:59.443333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/732665
732502,Unable to load episode replay（Too many requests）,1,4,5,0,False,2026-08-03T11:37:49.620735400Z,2026-08-04T03:05:03.630Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/732502
732167,Is getting a gold mandatory for becoming a finalist in the strategy competition?,0,4,5,0,False,2026-08-02T05:43:47.516139800Z,2026-08-02T11:09:53.660Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/732167
731397,How do we build our decks?,0,6,7,0,False,2026-07-31T08:58:37.666579100Z,2026-08-02T15:42:15.910Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/731397
731933,about matching frequency in score band segmentation,1,3,4,0,False,2026-08-01T14:41:46.333988Z,2026-08-02T02:47:32.770Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/731933
731775,Issue with inactive teammate,1,2,3,0,False,2026-08-01T03:57:34.126822900Z,2026-08-01T07:58:30.070Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/731775
730554,22 Curated Deck Archetypes for PTCG AI Battle - A Deck Intelligence Dataset,7,0,1,0,False,2026-07-29T16:27:47.641211400Z,2026-07-29T16:27:47.640Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730554
730823,Is That Matchup Table Measuring the Deck—or the Player? (Part 1),3,0,1,0,False,2026-07-30T09:59:53.662674Z,2026-07-30T09:59:53.663333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730823
729887,"I've never seen a competition with nearly 6,000 participants before.",10,4,5,0,False,2026-07-27T03:18:52.996876800Z,2026-07-29T04:19:00.143333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/729887
728168,What is your highest score for an active rule-based agent,0,6,7,0,False,2026-07-22T08:53:50.856585300Z,2026-08-05T21:33:17.926666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728168
729644," Are top agents mostly heuristic, or are people successfully using RL/BC?",4,14,15,0,False,2026-07-26T08:58:52.437813800Z,2026-07-29T04:45:06.703333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/729644
728587,Minor Engine update,9,3,4,0,False,2026-07-23T21:04:23.759002800Z,2026-07-28T13:25:48.133333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728587
730707,Validation Episode Still Fails —  Replay Look Normal but Submission Is Rejected Without Error Details,0,1,2,0,False,2026-07-30T03:17:25.499791400Z,2026-07-30T06:33:56.676666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730707
729882,wow a good team,2,5,6,0,False,2026-07-27T02:40:42.400681200Z,2026-07-28T02:06:22.090Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/729882
727816,How'd you pick your deck?,2,7,8,0,False,2026-07-20T19:38:51.933448600Z,2026-08-01T03:03:34.983333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/727816
730107,Frustrated and Desperate: Every Deck I Build Get Gutted,0,3,4,0,False,2026-07-28T03:04:22.427023800Z,2026-07-28T16:29:59.993333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730107
730419,Flip a coin and prevent damage,0,0,1,0,False,2026-07-29T02:17:24.935412200Z,2026-07-29T02:17:24.936666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730419
730355,[Question]: Parallel Environments,1,0,1,0,False,2026-07-28T19:52:34.299252100Z,2026-07-28T19:52:34.300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730355
730179,Domain-neutral decision kernel release,0,0,1,0,False,2026-07-28T10:36:04.670749700Z,2026-07-28T10:36:04.670Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730179
730155,How do strong agents decide whether to search before drawing?,0,0,1,0,False,2026-07-28T09:06:49.577715700Z,2026-07-28T09:06:49.576666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730155
729939,My ai has been killing itself.,0,3,4,0,False,2026-07-27T10:43:44.204119800Z,2026-07-28T02:48:53.040Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/729939
730196,Domain-neutral decision kernel v0.1.1 update,-5,1,2,0,False,2026-07-28T12:08:22.342278200Z,2026-07-28T12:29:48.060Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/730196
729604,Is it allowed to call external APIs in this competition? Issues with DeepSeek API,-1,3,4,0,False,2026-07-26T06:58:25.909810800Z,2026-07-27T15:19:06.010Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/729604
729793,Deck of opponent,0,0,1,0,False,2026-07-26T16:16:14.535935700Z,2026-07-26T16:16:14.536666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/729793
729219,What is maximum time agent has to take step?,1,2,3,0,False,2026-07-25T11:21:15.886226400Z,2026-07-25T18:11:59.806666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/729219
727498,If you are both a Pokemon fan and a kaggler,17,10,11,0,False,2026-07-19T06:58:07.125995200Z,2026-07-22T15:44:09.686666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/727498
728695,Why Can Identical Strategies Receive Very Different Scores?,2,5,6,0,False,2026-07-24T07:45:08.114614700Z,2026-07-25T08:44:35.283333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728695
726690,Large systematic disparity in episode rates between leaderboard agents,10,8,9,0,False,2026-07-16T03:34:45.695185800Z,2026-07-24T19:15:51.126666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/726690
729440,Can one agent play multiple decks/tech out cards?,0,3,4,0,False,2026-07-25T16:44:12.890843900Z,2026-07-26T05:35:43.600Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/729440
728724,Teammate deleted their Kaggle account. Am I still eligible to participate?,0,3,4,0,False,2026-07-24T09:38:19.147632Z,2026-07-24T19:12:00.870Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728724
728068,An engine bug(?) report ,5,0,1,0,False,2026-07-21T21:43:24.722010100Z,2026-07-21T21:43:24.723333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728068
728301,How many games you need before you believe a change helped,2,1,2,0,False,2026-07-22T19:39:17.785354100Z,2026-07-23T17:47:29.156666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728301
728243,How should we adapt to leaderboard variance?,3,0,1,0,False,2026-07-22T15:41:27.919400800Z,2026-07-22T15:41:27.920Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728243
728159,Do you use a base prompt for coding assistants like Cursor/Gemini/Claude?,2,2,3,0,False,2026-07-22T07:22:08.648233800Z,2026-07-22T09:34:49.860Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728159
727565,Curious Questions about Submission Size,0,10,11,0,False,2026-07-19T15:05:18.244065600Z,2026-07-25T18:59:08.133333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/727565
728519,"Option types are plain ints, and other things that cost me submissions",-1,0,1,0,False,2026-07-23T16:38:14.333168800Z,2026-07-23T16:38:14.333333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728519
717697,Sharing my Reinforcement Learning journey (updated),39,55,56,0,False,2026-07-02T11:08:43.997372900Z,2026-07-25T16:12:42.500Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/717697
728287,"BUG: ""Player 1's deck error"" at Step 0 with mathematically valid 60-card deck",0,0,1,0,False,2026-07-22T18:31:01.655529400Z,2026-07-22T18:31:01.656666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728287
728111,Match with +0 and -0 points awarded,1,2,3,0,False,2026-07-22T00:09:01.912548200Z,2026-07-22T00:18:57.856666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728111
727929,Is matchmaking broken?,0,3,4,0,False,2026-07-21T11:23:22.903422500Z,2026-07-22T05:06:46.903333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/727929
724362,"Top players’ methods, revealed by 30,000 games",74,12,13,0,False,2026-07-10T20:17:25.005571Z,2026-07-17T20:01:48.790Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724362
727912,How long does it typically take for the agent's score to stabilize? ,0,3,4,0,False,2026-07-21T08:41:36.096643200Z,2026-07-21T14:14:39.250Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/727912
727094,"Updated game engine, sample submission file",10,0,1,0,False,2026-07-17T19:21:29.915444600Z,2026-07-17T19:21:29.916666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/727094
723576,Can one get good results without having played pokemen before?,13,16,17,0,False,2026-07-07T10:43:04.194493400Z,2026-07-21T09:03:54.290Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/723576
727695,How do you tell if your new version is actually better?,1,3,4,0,False,2026-07-20T10:22:15.160965800Z,2026-07-20T17:22:52.506666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/727695
717093,How Do I Collect Human Played Gameplay Examples?,0,1,2,0,False,2026-07-01T13:36:05.659069500Z,2026-07-31T23:38:43.436666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/717093
724904,Matchmaking issue,-1,3,4,0,False,2026-07-13T14:34:54.385821200Z,2026-07-22T09:19:37.873333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724904
708617,Matchup data: ~15k self-play games between the 4 sample decks,35,1,2,0,False,2026-06-16T13:33:11.937695200Z,2026-07-30T04:32:18.790Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/708617
725074,Regarding a Title to Be Awarded to the Winner of This Competition,20,4,5,0,False,2026-07-14T11:51:30.197578500Z,2026-07-14T16:56:02.330Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/725074
716557,Clarification on Episode JSON Action/Observation Alignment for Behavioral Cloning,0,1,2,0,False,2026-06-30T17:55:33.980466600Z,2026-07-30T10:02:13.623333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/716557
709304,Kiyota RL/MCTS sample rerun: learning curve and caveat,1,5,6,0,False,2026-06-18T06:27:28.488823300Z,2026-08-04T13:24:53.053333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/709304
726708,How much time does an agent get per round/game?,1,2,3,0,False,2026-07-16T06:43:35.865657500Z,2026-07-16T18:23:32.870Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/726708
726696,Differences in the performance of Heuristic and RL,0,0,1,0,False,2026-07-16T04:08:53.151056600Z,2026-07-16T04:08:53.150Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/726696
708899,Requesting build of cabt engine for ARM64,27,8,9,0,False,2026-06-17T06:29:45.220506700Z,2026-07-23T14:33:21.980Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/708899
710545,Curious how to interpret replays,0,2,3,0,False,2026-06-20T12:10:37.777647400Z,2026-07-30T04:48:49.776666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/710545
712621,Leaderboard Scoring Inconsistency,77,23,24,0,False,2026-06-23T06:59:37.557560100Z,2026-07-16T03:35:26.906666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/712621
723591,First or second — which do agents pick?,22,1,2,0,False,2026-07-07T11:53:27.858736Z,2026-07-11T13:56:58.713333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/723591
724637,Can RL and MCTS Build Mathematical Theories?,3,2,3,0,False,2026-07-12T12:07:24.829285900Z,2026-07-12T12:14:15.520Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724637
724187,Things I tried that didn't work,10,1,2,0,False,2026-07-09T23:33:35.611810700Z,2026-07-10T13:29:03.910Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724187
724643,Is it possible to access replay data from our submitted agents?,0,1,2,0,False,2026-07-12T12:38:05.244143200Z,2026-07-13T16:57:01.936666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724643
724733,Competition eligibility requirements,0,2,3,0,False,2026-07-12T19:40:49.461677Z,2026-07-12T21:14:36.320Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724733
724421,私のループエンジニアリング失敗の記録,-1,2,3,0,False,2026-07-11T07:18:47.113371800Z,2026-07-11T09:02:35.240Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724421
721010,Pokémon Deck List,20,0,1,0,False,2026-07-06T08:05:40.214842300Z,2026-07-06T08:05:40.213333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/721010
721338,How do you teach an agent when to use Boss's Orders and what to discard for Ultra Ball?,11,3,4,0,False,2026-07-06T12:31:53.260031800Z,2026-07-07T08:36:57.336666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/721338
724378,"Action Order: [0,2,4] vs [2,0,4]",1,0,1,0,False,2026-07-10T21:42:21.014889600Z,2026-07-10T21:42:21.013333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724378
724212,Can i train on my own hardware / cloud ? :),0,1,2,0,False,2026-07-10T04:24:01.074345300Z,2026-07-10T08:27:39.356666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724212
724213,"Reliable Submission Checklist: avoid __file__, sys.path, and harness-loading pitfalls",0,0,1,0,False,2026-07-10T04:25:20.795293500Z,2026-07-10T04:25:20.796666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724213
724054,Can we play this game in browser just like orbit wars was there ? ,0,2,3,0,False,2026-07-09T09:26:30.123818200Z,2026-07-09T11:01:17.763333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724054
723983,"About ""five (5) Submissions per day""",0,2,3,0,False,2026-07-09T01:03:07.279281700Z,2026-07-10T02:14:07.046666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/723983
722907,how to solve disabled due to the competition's active submission limit,1,1,2,0,False,2026-07-07T02:05:54.167645Z,2026-07-07T02:16:25.976666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/722907
716045,"June 30 Update: Updated Simulation Environment, gameplay increases",41,9,10,0,False,2026-06-30T00:30:46.484804300Z,2026-07-01T18:34:42.423333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/716045
718688,"""Player 1's deck does not have 60 cards."",",2,6,7,0,False,2026-07-04T00:00:18.446682Z,2026-07-05T20:41:55.343333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/718688
711741,【Question to Host】Is it allowed that **one agent** use multi-decks?,27,14,15,0,False,2026-06-22T00:13:57.882637600Z,2026-07-05T15:51:39.313333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/711741
720201,is their any solo teams in the competion,-2,2,3,0,False,2026-07-05T16:24:30.113183200Z,2026-07-07T18:26:22.456666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/720201
711737,"Request for an explicit ruling on game engine source, reverse engineering, and community engine",102,22,23,0,False,2026-06-21T23:46:27.859875900Z,2026-07-01T22:09:04.533333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/711737
710361,A Vibecoded Website to View Metas and Cards,31,10,11,0,False,2026-06-20T08:49:33.082259300Z,2026-07-05T22:33:42.103333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/710361
713608,"What We Tried, What Ceilinged, and Two Questions We Can't Answer Alone",28,10,11,0,False,2026-06-24T19:36:55.454658300Z,2026-07-03T04:00:26.300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/713608
718244,ポケモンカードの基本ルールまとめ、デッキ考察,3,0,1,0,False,2026-07-03T08:32:55.652707200Z,2026-07-03T08:32:55.653333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/718244
718783,Replay triage template: public episodes to loss buckets,1,0,1,0,False,2026-07-04T06:23:51.637215700Z,2026-07-04T06:23:51.636666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/718783
711644,How has your experience been with RL/PPO/MCTS in this competition so far?,11,5,6,0,False,2026-06-21T18:03:57.774053100Z,2026-07-03T21:02:31.526666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/711644
716241,Possible bug: Rare Candy consumed without evolving after a legal evolution option is selected,2,1,2,0,False,2026-06-30T08:47:21.669044300Z,2026-07-03T19:19:45.140Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/716241
714972,Public link to my essay — not a solution write-up,13,9,10,0,False,2026-06-27T13:04:14.818367100Z,2026-06-30T03:36:33.146666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/714972
717698,How fast should the environment be?,1,2,3,0,False,2026-07-02T11:09:07.819392500Z,2026-07-03T05:43:35.716666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/717698
713377,Team Merging and Finding Teammates,6,1,2,0,False,2026-06-24T11:51:55.524207200Z,2026-07-02T08:59:47.773333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/713377
717821,Is it allowed for a submitted Simulation agent to call a generative AI API during evaluation?,0,2,3,0,False,2026-07-02T14:33:45.943270400Z,2026-07-02T19:15:35.530Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/717821
717832,replay log curation,1,0,1,0,False,2026-07-02T14:46:59.612948300Z,2026-07-02T14:46:59.613333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/717832
714030,[RESOLVED] Possible Infinite Move by Opponent Agent and Unfair Rating,11,13,14,0,False,2026-06-25T14:24:13.515600400Z,2026-06-30T07:24:32.380Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/714030
717279,Stale agents?,0,4,5,0,False,2026-07-01T18:25:27.696138600Z,2026-07-03T00:32:14.426666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/717279
716207,"How to Disrupt the Archaludon Meta: My Discoveries with Ogerpon & The ""Hybrid"" Wall",2,1,2,0,False,2026-06-30T07:38:48.338520500Z,2026-07-01T12:27:50.103333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/716207
714505,A Visit to a Pokémon Card Shop Mini Tournament,15,1,2,0,False,2026-06-26T12:27:18.711091800Z,2026-06-26T13:37:16.623333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/714505
712657,Is Battle Simulate Matching Process Working Well ?,58,7,8,0,False,2026-06-23T08:14:05.970095Z,2026-06-24T16:57:40.800Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/712657
714575,Error in EN_Card_Data.csv,1,1,2,0,False,2026-06-26T15:07:10.577463200Z,2026-07-03T06:23:42.823333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/714575
716050,"Episode replays return ""Too many requests"" (429) for ~3 days — Pokémon TCG AI Battle",1,3,4,0,False,2026-06-30T00:57:55.555746400Z,2026-06-30T07:17:16.453333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/716050
716378,Where is the SDK mentioned in the competition description?,0,0,1,0,False,2026-06-30T13:40:40.070572400Z,2026-06-30T13:40:40.070Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/716378
716302,Failed to import transformers,0,0,1,0,False,2026-06-30T10:59:25.148041600Z,2026-06-30T10:59:25.146666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/716302
712893,Temporary Game Rate Decrease,26,5,6,0,False,2026-06-23T16:17:43.569231800Z,2026-06-25T14:05:29.303333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/712893
715117,強化学習なしで瞬間60位とった人の環境考察,2,1,2,0,False,2026-06-27T19:17:50.805173500Z,2026-06-27T19:50:04.556666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/715117
709263,Daily public meta notes from visible Game History,22,11,12,0,False,2026-06-18T02:48:42.532924500Z,2026-06-28T05:57:33.230Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/709263
709152,Memory Leak in libcg.so during continuous RL Training loops (battle_start),14,5,6,0,False,2026-06-17T18:30:27.738339400Z,2026-06-29T11:23:16.120Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/709152
715251,Request for a reproducible evaluation loop beyond sparse live rating,1,2,3,0,False,2026-06-28T07:25:51.437120200Z,2026-06-28T22:44:23.596666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/715251
715644,[Bug Report] Error occurring in search_step,1,0,1,0,False,2026-06-29T04:58:01.754399400Z,2026-06-29T04:58:01.753333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/715644
